#RSS_anchor1, RSS_anchor2, RSS_anchor3, RSS_anchor4
-0.45455,-0.55556,0.2,-0.53191
-0.45455,-0.51111,0.2,-0.53191
-0.31818,-0.73333,0.066667,0.40426
-0.31818,-0.91111,0.066667,0.40426
-0.54545,-0.91111,0.33333,-0.021277
-0.54545,-1,0.37778,0.14894
-0.54545,-0.6,0.33333,0.14894
-0.86364,-0.6,0.15556,0.53191
-0.86364,-1,0.022222,0.2766
-0.86364,-0.73333,0.33333,0.2766
-0.72727,-0.55556,0.33333,0.06383
-0.72727,-0.51111,0.33333,0.06383
-1,-0.33333,0.066667,0.06383
-0.68182,-0.37778,0.15556,0.06383
-0.31818,-0.86667,0.55556,0.06383
-0.5,-0.6,0.33333,0.40426
-0.5,-0.6,0.64444,0.2766
-0.5,-0.95556,0.11111,0.14894
-0.5,-0.6,0.28889,-0.2766
-0.5,-0.6,-0.55556,-0.2766
-0.59091,-0.91111,0.24444,0.53191
-0.59091,-0.73333,0.2,0.14894
-0.59091,-0.6,0.066667,0.40426
-0.59091,-0.95556,-0.066667,0.40426
-0.090909,-0.86667,-0.28889,0.40426
-0.40909,-0.6,0.28889,0.40426
-0.5,-0.42222,0.066667,0.65957
-0.5,-0.73333,0.24444,0.65957
-0.31818,-0.46667,0.066667,0.65957
-0.31818,-0.6,0.11111,0.65957
-0.31818,-0.55556,-0.2,0.65957
-0.45455,-0.33333,0.066667,0.3617
-0.45455,-0.33333,0.15556,0.3617
-0.5,-0.68889,0.066667,0.53191
-0.5,-0.55556,0.24444,0.65957
-0.5,-0.37778,0.28889,0.65957
-0.5,-0.37778,0.24444,0.65957
-0.68182,-0.37778,0.33333,0.65957
-0.5,-0.46667,0.33333,0.53191
-0.5,-0.77778,0.46667,0.53191
-0.68182,-0.6,0.46667,0.53191
-0.59091,-0.46667,0.68889,0.53191
-0.59091,-0.82222,0.64444,0.53191
-0.36364,-0.91111,0.33333,0.53191
-0.36364,-0.64444,0.64444,0.53191
