#RSS_anchor1, RSS_anchor2, RSS_anchor3, RSS_anchor4
-0.90476,-0.64,0.14286,0.65
-0.57143,-0.8,-0.42857,0.5
-0.38095,-0.36,0.14286,0.6
-0.28571,-0.16,-0.14286,0.45
-0.28571,-0.72,-0.42857,0.35
-0.42857,-0.16,-0.7619,0.3
-0.47619,-0.2,-0.42857,0.1
-0.47619,-0.24,-0.28571,0.05
-0.42857,-0.32,-0.38095,0.05
-0.28571,-0.48,-0.80952,0.15
-0.2381,-0.36,0,-0.4
-0.14286,-0.2,-0.047619,0.25
-0.19048,-0.04,0,-0.1
-0.14286,0.04,0,-0.1
-0.19048,0.04,0,-0.1
-0.28571,0.04,-0.33333,-0.05
-0.14286,0.04,-0.2381,0.05
-0.14286,0.04,-0.47619,0.2
-0.28571,0.04,0.095238,-0.4
-0.14286,-0.08,-0.28571,0
0.047619,-0.24,-0.57143,0.25
0.095238,-0.08,-0.52381,-0.4
0,-0.36,-0.047619,0.25
-0.095238,-0.12,0,-0.1
-0.14286,0.04,-0.42857,-0.35
-0.28571,0.16,0,-0.15
-0.38095,0.08,-0.47619,-0.4
